Date,Open,High,Low,Close,Adj Close,Volume,dividend_amount,split_coefficient
1999-11-01,136.5,137.0,135.5625,135.5625,90.9110087165,4006500,0.0,1.0
1999-11-02,135.968704,137.25,134.593704,134.593704,90.2613141357,6516900,0.0,1.0
1999-11-03,136.0,136.375,135.125,135.5,90.8690949273,7222300,0.0,1.0
1999-11-04,136.75,137.359299,135.765594,136.531204,91.5606416001,7907500,0.0,1.0
1999-11-05,138.625,139.109299,136.781204,137.875,92.4618189159,7431500,0.0,1.0
1999-11-08,137.0,138.375,136.75,138.0,92.5456464942,4649200,0.0,1.0
1999-11-09,138.5,138.6875,136.281204,136.703094,91.6759145796,4533700,0.0,1.0
1999-11-10,136.25,138.390594,136.078094,137.718704,92.3570035944,6405600,0.0,1.0
1999-11-11,138.1875,138.5,137.468704,138.5,92.8809568076,4794100,0.0,1.0
1999-11-12,139.25,139.984299,137.125,139.75,93.7192325911,11802900,0.0,1.0
1999-11-15,139.843704,140.25,139.406204,140.078094,93.939259195,2187500,0.0,1.0
1999-11-16,140.5625,143.0,140.093704,141.25,94.7251635312,7544800,0.0,1.0
1999-11-17,142.25,142.9375,141.3125,141.625,94.9766462662,9459000,0.0,1.0
1999-11-18,142.4375,143.0,141.625,142.625,95.647266893,4491000,0.0,1.0
1999-11-19,142.406204,142.968704,142.0,142.5,95.5634393147,4832100,0.0,1.0
1999-11-22,142.4375,143.0,141.5,142.468704,95.5424515715,4155400,0.0,1.0
1999-11-23,142.843704,142.843704,140.375,141.218704,94.7041757881,5918000,0.0,1.0
1999-11-24,140.75,142.4375,140.0,141.968704,95.2071412582,4459700,0.0,1.0
1999-11-26,142.468704,142.875,141.25,141.4375,94.8509048987,1693900,0.0,1.0
1999-11-29,140.875,141.921799,140.4375,140.9375,94.5155945853,7348600,0.0,1.0
1999-11-30,140.75,142.3125,139.0,139.281204,93.4048483237,7682000,0.0,1.0
1999-12-01,139.3125,140.5,139.0,140.406204,94.1592965288,6980200,0.0,1.0
1999-12-02,140.625,141.375,140.375,141.25,94.7251635312,6698300,0.0,1.0
1999-12-03,143.031204,145.343704,143.031204,143.843704,96.4645549333,10045400,0.0,1.0
1999-12-06,143.531204,143.718704,142.25,142.781204,95.7520205174,3138900,0.0,1.0
1999-12-07,143.281204,143.3125,141.375,141.625,94.9766462662,10714200,0.0,1.0
1999-12-08,141.343704,142.0625,140.5,140.718704,94.3688654747,4611400,0.0,1.0
1999-12-09,141.8125,142.218704,139.375,141.406204,94.8299171556,6474700,0.0,1.0
1999-12-10,142.281204,142.8125,140.875,141.875,95.1443014229,5127300,0.0,1.0
1999-12-13,141.4375,142.718704,141.281204,142.125,95.3119565796,4210800,0.0,1.0
1999-12-14,141.625,142.484299,140.625,140.75,94.3898532178,5739000,0.0,1.0
1999-12-15,140.375,142.203094,140.031204,141.5,94.8928186879,6879100,0.0,1.0
1999-12-16,142.1875,142.656204,141.156204,142.125,95.3119565796,5854900,0.0,1.0
1999-12-17,143.0,143.3125,142.0625,142.6875,95.9222562223,4775400,0.3476,1.0
1999-12-20,142.5625,143.1875,141.093704,141.656204,95.2289632628,4608700,0.0,1.0
1999-12-21,141.593704,144.0625,141.343704,143.8125,96.6785420795,7981300,0.0,1.0
1999-12-22,143.625,144.1875,142.968704,144.1875,96.9306373652,5377500,0.0,1.0
1999-12-23,145.015594,146.484299,145.0,146.484299,98.474669899,5721700,0.0,1.0
1999-12-27,146.5,146.781204,145.0625,146.281204,98.3381384535,2691000,0.0,1.0
1999-12-28,145.875,146.5,145.484299,146.1875,98.2751455558,4084500,0.0,1.0
1999-12-29,146.3125,146.8125,145.3125,146.8125,98.6953043654,3001000,0.0,1.0
1999-12-30,147.125,147.5625,146.1875,146.640594,98.5797398528,3641300,0.0,1.0
1999-12-31,146.843704,147.5,146.25,146.875,98.7373202463,3172700,0.0,1.0
2000-01-03,148.25,148.25,143.875,145.4375,97.7709549843,8164300,0.0,1.0
2000-01-04,143.531204,144.0625,139.640594,139.75,93.9475098173,8089800,0.0,1.0
2000-01-05,139.9375,141.531204,137.25,140.0,94.1155733412,12177900,0.0,1.0
2000-01-06,139.625,141.5,137.75,137.75,92.6030016268,6227200,0.0,1.0
2000-01-07,140.3125,145.75,140.0625,145.75,97.9810343891,8066500,0.0,1.0
2000-01-10,146.25,146.906204,145.031204,146.25,98.3171614368,5741700,0.0,1.0
2000-01-11,145.8125,146.093704,143.5,144.5,97.14071677,7503700,0.0,1.0
2000-01-12,144.593704,144.593704,142.875,143.0625,96.174351508,6907700,0.0,1.0
2000-01-13,144.468704,145.75,143.281204,145.0,97.4768438176,5158300,0.0,1.0
2000-01-14,146.531204,147.468704,145.968704,146.968704,98.8003131441,7437300,0.0,1.0
2000-01-18,145.343704,146.625,145.1875,145.8125,98.0230502701,6488500,0.0,1.0
2000-01-19,145.3125,147.0,145.0,147.0,98.8213520082,6157900,0.0,1.0
2000-01-20,146.968704,146.968704,143.8125,144.75,97.3087802938,5800100,0.0,1.0
2000-01-21,145.5,145.5,144.0625,144.4375,97.098700889,6244800,0.0,1.0
